Title,Assay,AssayFam,Carba,DoubleSampling,HighPos,Hpv,Japan,MatRev,MaterialCodes,Na,PartNr,Product,SealAssay,TemplatePath,Ultra
GXEBOLA-10,EBOLA,,No,No,Yes,No,,D21938,GXEBOLA-10;D21938,N/A,700-4671,GXEBOLA-10,Ebola,Ebola,No
XPRSGBS-10,GBS US,,No,Yes,No,No,,D68620,XPRSGBS-10;D68620,NA,700-7296,XPRSGBS-10,GBS,GBS US IVD,No
XPRSGBS-CE-10,GBS CE,,No,Yes,No,No,,D37988,XPRSGBS-CE-10;D37988,NA,700-7295,XPRSGBS-CE-10,GBS,GBS CE,No
GXGBSLBXC-10,GBS LB XC,,No,No,No,No,,D68621,GXGBSLBXC-10;D68621,NA,700-7275,GXGBSLBXC-10,GBS,GBS CE,No
GXGBSLBXC-120,GBS LB XC,,No,No,No,No,,D68621,GXGBSLBXC-120;D68621,NA,700-7275,GXGBSLBXC-120,GBS,GBS LB XC,No
EDGETAP-10,TAP Panel,,No,Yes,No,No,,D69129,EDGETAP-10;D69129,N/A,N/A NOT RELEASED YET,EDGETAP-10,Xpert TAP Panel,TAP Panel,No
GXGI-10,GI PANEL,,No,Yes,No,No,,D55989,GXGI-10;D55989,NA,700-9454,GXGI-10,Xpert GI Panel,GI PANEL,No
GXGI-CE-10,GI PANEL,,No,Yes,No,No,,D55989,GXGI-CE-10;D55989,NA,700-9467,GXGI-CE-10,Xpert GI Panel,GI PANEL,Yes
GXMTB/RIF-JP-10,MTB RIF JP,,No,No,Yes,No,MTB,D66612,GXMTB/RIF-JP-10;D66612,N/A,700-4676,GXMTB/RIF-JP-10,MTB,MTB JP,No
GXCDIFF-JP-10,C.DIFF JP,,No,No,Yes,No,CDIFF,D66613,GXCDIFF-JP-10;D66613,N/A,700-5102,GXCDIFF-JP-10,C. Diff,C.Diff JP,No
GXSACOMP-JP-10,SA COMP JP,,No,No,Yes,No,MRSA,D66614,GXSACOMP-JP-10;D66614,N/A,700-4023,GXSACOMP-JP-10,SA Comp,MRSA JP,No
GXCT/NG-JP-10,CTNG JP,,No,No,Yes,No,CTNG,D66615,GXCT/NG-JP-10;D66615,N/A,700-5097,GXCT/NG-JP-10,CTNG and Xpress CT/NG,CTNG JP,No
